"","State","County","Year","NO2.AQI_mean","O3.AQI_mean","SO2.AQI_mean","CO.AQI_mean"
"1","Alabama","Jefferson",2013,21.3870967741935,18.9032258064516,6.58064516129032,4.12903225806452
"2","Alabama","Jefferson",2014,21.4867549668874,36.9470198675497,7.95695364238411,3.71523178807947
"3","Alabama","Jefferson",2015,20.0266666666667,37.3433333333333,6.95,3.93333333333333
"4","Alabama","Jefferson",2016,23.0939597315436,39.2953020134228,5.2751677852349,3.90604026845638
"5","Alaska","Fairbanks North Star ",2014,21.1675977653631,15.2067039106145,14,6.98324022346369
"6","Alaska","Fairbanks North Star ",2015,18.6793650793651,19.1365079365079,14.7936507936508,6.26984126984127
"7","Arizona","Maricopa",2000,55.1744840525328,37.5478424015009,8.42401500938086,19.6322701688555
"8","Arizona","Maricopa",2001,46.9203539823009,32.6548672566372,7.6070796460177,16.8194690265487
"9","Arizona","Maricopa",2002,49.3351648351648,34.2802197802198,8.36263736263736,17.7692307692308
"10","Arizona","Maricopa",2003,48.0758620689655,32.8091954022988,7.77011494252874,15.6735632183908
"11","Arizona","Maricopa",2004,43.326375711575,35.1005692599621,6.30740037950664,11.9696394686907
"12","Arizona","Maricopa",2005,42.3188137164041,38.8285449490269,5.75996292863763,12.7015755329008
"13","Arizona","Maricopa",2006,41.256993006993,41.0104895104895,5.38461538461539,11.784965034965
"14","Arizona","Maricopa",2007,39.9836065573771,36.6491803278689,4.4775956284153,11.3814207650273
"15","Arizona","Maricopa",2008,39.1608548931384,38.7086614173228,4.25871766029246,9.22384701912261
"16","Arizona","Maricopa",2009,36.8501628664495,37.4679695982628,3.85884907709012,8.86536373507058
"17","Arizona","Maricopa",2010,35.5166858457998,38.3302646720368,3.73647871116226,7.94476409666283
"18","Arizona","Maricopa",2011,36.9812382739212,38.5065666041276,3.33208255159475,8.39399624765478
"19","Arizona","Maricopa",2012,38.1222570532915,42.3808777429467,3.35423197492163,7.87460815047022
"20","Arizona","Maricopa",2013,34.8411669367909,47.2836304700162,2.92706645056726,7.50891410048622
"21","Arizona","Maricopa",2014,34.8112676056338,46.4197183098592,3.04084507042254,8.58028169014085
"22","Arizona","Maricopa",2015,30.6656488549618,47.5083969465649,2.22290076335878,7.41679389312977
"23","Arizona","Maricopa",2016,37.9493670886076,36.5443037974684,2.35443037974684,11.2278481012658
"24","Arizona","Pima",2000,34.7665706051873,41.3371757925072,6.02881844380403,8.31412103746398
"25","Arizona","Pima",2001,32.536443148688,38.6501457725948,3.04081632653061,7.37900874635569
"26","Arizona","Pima",2002,34.6442577030812,40.453781512605,4.51820728291317,7.3641456582633
"27","Arizona","Pima",2003,34.4194444444444,38.7083333333333,5.11666666666667,8.09444444444444
"28","Arizona","Pima",2004,31.9098360655738,36.4371584699454,5.39071038251366,6.86885245901639
"29","Arizona","Pima",2005,29.1671232876712,36.5260273972603,4.37534246575343,6.43561643835616
"30","Arizona","Pima",2006,29.3890410958904,37.9452054794521,3.53698630136986,6.24931506849315
"31","Arizona","Pima",2007,27.5123287671233,39.1945205479452,4.03287671232877,5.33698630136986
"32","Arizona","Pima",2008,28.0796703296703,38.6153846153846,3.88186813186813,4.57967032967033
"33","Arizona","Pima",2009,26.1123287671233,36.2246575342466,1.54246575342466,4.30958904109589
"34","Arizona","Pima",2010,25.2894736842105,36.8399122807018,1.75877192982456,4.18859649122807
"35","Arizona","Pima",2011,23.6555555555556,38.9722222222222,1.14444444444444,2.99166666666667
"36","Arizona","Pima",2012,26.1485148514851,36.1518151815182,0.363036303630363,3.37953795379538
"37","Arizona","Pima",2013,22.1369863013699,38.2109589041096,0.901369863013699,2.81369863013699
"38","Arizona","Pima",2014,22.3950177935943,40.4946619217082,0.647686832740214,3.25622775800712
"39","Arizona","Pima",2015,18.1191135734072,40.1606648199446,0.573407202216066,3.42936288088643
